city,country,growth,latitude,longitude,population,year,continent,gdp_per_capita,ECI,hdi
thousand oaks,united states,Developed economies,34.1705609,-118.8375937,128888,2010,Northern America,59928,1.75541,0.92
tokyo,japan,Developed economies,35.6761919,139.6503106,13839910,2010,Eastern Asia,41959,2.30938,0.915
munich,germany,Developed economies,48.1351253,11.5819805,1456039,2010,Western Europe,52574,2.07537,0.939
durham,united states,Developed economies,35.9940329,-78.898619,263016,2010,Northern America,59928,1.75541,0.92
i̇stanbul,turkey,Developing economies,41.0082376,28.9783589,14025000,2010,Western Asia,27879,0.175726,0.807
st. louis,united states,Developed economies,38.6270025,-90.1994042,311404,2010,Northern America,59928,1.75541,0.92
longmont,united states,Developed economies,40.1672068,-105.1019275,99398,2010,Northern America,59928,1.75541,0.92
vancouver,canada,Developed economies,49.2827291,-123.1207375,676593,2010,Northern America,46723,1.05671,0.922
singapore,singapore,Developing economies,1.2831593,103.8530435,0,2010,South-eastern Asia,96553,1.86534,0.935
tulsa,united states,Developed economies,36.1539816,-95.992775,403090,2010,Northern America,59928,1.75541,0.92
sofia,bulgaria,Developed economies,42.6977082,23.3218675,1238438,2010,Eastern Europe,20948,0.347659,0.816
seattle,united states,Developed economies,47.6062095,-122.3320708,704352,2010,Northern America,59928,1.75541,0.92
lethbridge,canada,Developed economies,49.6955856,-112.8451364,98960,2010,Northern America,46723,1.05671,0.922
hyderabad,india,Developing economies,17.385044,78.486671,6376000,2010,Southern Asia,7169,0.359807,0.647
lisle,united states,Developed economies,41.801141,-88.0747875,22912,2010,Northern America,59928,1.75541,0.92
san francisco,united states,Developed economies,37.7749295,-122.4194155,870887,2010,Northern America,59928,1.75541,0.92
dublin,ireland,Developed economies,53.3250681,-6.2239212,544107,2010,Northern Europe,77596,1.40023,0.942
atlanta,united states,Developed economies,33.7489954,-84.3879824,472522,2010,Northern America,59928,1.75541,0.92
sancoale,india,Developing economies,15.3775135,73.8809535,0,2010,Southern Asia,7169,0.359807,0.647
princeton,united states,Developed economies,40.3572976,-74.6672226,31822,2010,Northern America,59928,1.75541,0.92
ottawa,canada,Developed economies,45.4215296,-75.6971931,1007501,2010,Northern America,46723,1.05671,0.922
beacon,united states,Developed economies,41.5048158,-73.9695832,14289,2010,Northern America,59928,1.75541,0.92
lansing,united states,Developed economies,42.732535,-84.5555347,116020,2010,Northern America,59928,1.75541,0.92
aurora,united states,Developed economies,39.7294319,-104.8319195,361710,2010,Northern America,59928,1.75541,0.92
lisbon,portugal,Developed economies,38.7222524,-9.1393366,505526,2010,Southern Europe,32554,0.258555,0.85
paris,france,Developed economies,48.856614,2.3522219,2229621,2010,Western Europe,44256,1.38964,0.891
cork,ireland,Developed economies,51.8985143,-8.4756035,124391,2010,Northern Europe,77596,1.40023,0.942
sunderland,united kingdom,Developed economies,54.906869,-1.383801,452934,2010,Northern Europe,44896,1.53259,0.92
kolkata,india,Developing economies,22.572646,88.363895,4486679,2010,Southern Asia,7169,0.359807,0.647
duncraig,australia,Developed economies,-31.8358654,115.7823733,0,2010,Oceania,49654,0.0863035,0.938
budapest,hungary,Developed economies,47.497912,19.040235,1759407,2010,Eastern Europe,28799,1.38444,0.845
amsterdam,netherlands,Developed economies,52.3666969,4.8945398,821752,2010,Western Europe,54503,1.30343,0.934
rochester,united states,Developed economies,43.1565779,-77.6088465,114011,2010,Northern America,59928,1.75541,0.92
ann arbor,united states,Developed economies,42.2808256,-83.7430378,120782,2010,Northern America,59928,1.75541,0.92
ordino,andorra,Developed economies,42.5994433,1.5402327,0,2010,Southern Europe,42030,NA,0.857
sarajevo,bosnia and herzegovina,Transition economies,43.8562586,18.4130763,696731,2010,Southern Europe,13735,0.372865,0.769
auckland,new zealand,Developed economies,-36.8484597,174.7633315,1495000,2010,Oceania,40439,0.483484,0.921
puno,peru,Developing economies,-15.8402218,-70.0218805,147385,2010,South America,13772,-0.598962,0.759
buenos aires,argentina,Developing economies,-34.6036844,-58.3815591,3054300,2010,South America,20843,0.232335,0.83
miami beach,united states,Developed economies,25.790654,-80.1300455,92307,2010,Northern America,59928,1.75541,0.92
hyderabad,india,Developing economies,17.385044,78.486671,6376000,2010,Southern Asia,7169,0.359807,0.647
washington,united states,Developed economies,38.9071923,-77.0368707,681170,2010,Northern America,59928,1.75541,0.92
albuquerque,united states,Developed economies,35.0843859,-106.650422,559277,2010,Northern America,59928,1.75541,0.92
santa barbara,united states,Developed economies,34.4208305,-119.6981901,204034,2010,Northern America,59928,1.75541,0.92
new york,united states,Developed economies,40.7127753,-74.0059728,8622698,2010,Northern America,59928,1.75541,0.92
lijiang,china,Developing economies,26.855047,100.22775,18445,2010,Eastern Asia,16782,0.691307,0.758
